,close,high,low
2025-12-19 00:00:00,0.091357,0.092929,0.090703
2025-12-19 04:00:00,0.093203,0.093668,0.090987
2025-12-19 08:00:00,0.094166,0.094718,0.093268
2025-12-19 12:00:00,0.094619,0.094998,0.094049
2025-12-19 16:00:00,0.094315,0.095264,0.093446
2025-12-19 20:00:00,0.094914,0.095431,0.092545
2025-12-20 00:00:00,0.095217,0.09543,0.094511
2025-12-20 04:00:00,0.096301,0.096301,0.094733
2025-12-20 08:00:00,0.097715,0.097887,0.095094
2025-12-20 12:00:00,0.096539,0.097646,0.095722
2025-12-20 16:00:00,0.094271,0.096815,0.094271
2025-12-20 20:00:00,0.094901,0.095057,0.093759
2025-12-21 00:00:00,0.094611,0.095147,0.094021
2025-12-21 04:00:00,0.094948,0.096566,0.094338
2025-12-21 08:00:00,0.09397,0.094519,0.092846
2025-12-21 12:00:00,0.093749,0.095122,0.093749
2025-12-21 16:00:00,0.092909,0.094228,0.091271
2025-12-21 20:00:00,0.094147,0.09519,0.093191
2025-12-22 00:00:00,0.094106,0.094854,0.093687
2025-12-22 04:00:00,0.094551,0.095502,0.093954
2025-12-22 08:00:00,0.094212,0.094959,0.093993
2025-12-22 12:00:00,0.095792,0.095792,0.094618
2025-12-22 16:00:00,0.095202,0.096007,0.094989
2025-12-22 20:00:00,0.09376,0.09591,0.09376
2025-12-23 00:00:00,0.095814,0.095814,0.093087
2025-12-23 04:00:00,0.093587,0.096244,0.093528
2025-12-23 08:00:00,0.093022,0.093675,0.092473
2025-12-23 12:00:00,0.093833,0.094036,0.092684
2025-12-23 16:00:00,0.092808,0.094073,0.092165
2025-12-23 20:00:00,0.09344,0.094165,0.09284
2025-12-24 00:00:00,0.093653,0.09451,0.093367
2025-12-24 04:00:00,0.093206,0.093833,0.092154
2025-12-24 08:00:00,0.094229,0.094627,0.093025
2025-12-24 12:00:00,0.09389,0.094314,0.092631
2025-12-24 16:00:00,0.09395,0.094253,0.09286
2025-12-24 20:00:00,0.093573,0.094032,0.093319
2025-12-25 00:00:00,0.093968,0.094157,0.093449
2025-12-25 04:00:00,0.095138,0.095138,0.093886
2025-12-25 08:00:00,0.096914,0.096914,0.094671
2025-12-25 12:00:00,0.096629,0.097122,0.095879
2025-12-25 16:00:00,0.096874,0.098165,0.096293
2025-12-25 20:00:00,0.098822,0.098994,0.096954
2025-12-26 00:00:00,0.094225,0.099102,0.094225
2025-12-26 04:00:00,0.09587,0.096577,0.094434
2025-12-26 08:00:00,0.095096,0.096136,0.095096
2025-12-26 12:00:00,0.095093,0.09528,0.094436
2025-12-26 16:00:00,0.093694,0.095391,0.093331
2025-12-26 20:00:00,0.095659,0.095837,0.093132
2025-12-27 00:00:00,0.096453,0.096475,0.095344
2025-12-27 04:00:00,0.09561,0.096314,0.095397
2025-12-27 08:00:00,0.095519,0.095988,0.095426
2025-12-27 12:00:00,0.095124,0.095604,0.09458
2025-12-27 16:00:00,0.094586,0.095264,0.094236
2025-12-27 20:00:00,0.09628,0.096311,0.094182
2025-12-28 00:00:00,0.096033,0.097091,0.09539
2025-12-28 04:00:00,0.095298,0.096042,0.095032
2025-12-28 08:00:00,0.095888,0.095982,0.09511
2025-12-28 12:00:00,0.095796,0.09637,0.095639
2025-12-28 16:00:00,0.094581,0.096272,0.094581
2025-12-28 20:00:00,0.092469,0.094897,0.092469
2025-12-29 00:00:00,0.092939,0.09322,0.091992
2025-12-29 04:00:00,0.095691,0.095691,0.092747
2025-12-29 08:00:00,0.094901,0.096648,0.094625
2025-12-29 12:00:00,0.092716,0.09475,0.092675
2025-12-29 16:00:00,0.090057,0.092682,0.089302
2025-12-29 20:00:00,0.089139,0.09002,0.088554
2025-12-30 00:00:00,0.088204,0.089233,0.08735
2025-12-30 04:00:00,0.087412,0.088991,0.086871
2025-12-30 08:00:00,0.086844,0.087774,0.086083
2025-12-30 12:00:00,0.086874,0.087229,0.086311
2025-12-30 16:00:00,0.086238,0.087505,0.085654
2025-12-30 20:00:00,0.086182,0.086559,0.084801
2025-12-31 00:00:00,0.086281,0.086281,0.085702
2025-12-31 04:00:00,0.086113,0.086873,0.085624
2025-12-31 08:00:00,0.08613,0.08614,0.085584
2025-12-31 12:00:00,0.086896,0.08893,0.086152
2025-12-31 16:00:00,0.088706,0.089139,0.086809
2025-12-31 20:00:00,0.086363,0.088523,0.085206
2026-01-01 00:00:00,0.086208,0.086464,0.085173
2026-01-01 04:00:00,0.08621,0.086653,0.085899
2026-01-01 08:00:00,0.086477,0.086693,0.086037
2026-01-01 12:00:00,0.086735,0.086996,0.086221
2026-01-01 16:00:00,0.086734,0.087063,0.085799
2026-01-01 20:00:00,0.088368,0.088368,0.086472
2026-01-02 00:00:00,0.088962,0.089079,0.087982
2026-01-02 04:00:00,0.090354,0.090739,0.088537
2026-01-02 08:00:00,0.091038,0.092956,0.090709
2026-01-02 12:00:00,0.094547,0.094924,0.090852
2026-01-02 16:00:00,0.094598,0.095679,0.092961
2026-01-02 20:00:00,0.095449,0.09575,0.094319
2026-01-03 00:00:00,0.096145,0.096186,0.095306
2026-01-03 04:00:00,0.096336,0.096611,0.095806
2026-01-03 08:00:00,0.092082,0.096411,0.092081
