,close,high,low
2025-12-10 08:00:00,0.61262,0.621826,0.609704
2025-12-10 12:00:00,0.606454,0.615367,0.605071
2025-12-10 16:00:00,0.60701,0.612444,0.604459
2025-12-10 20:00:00,0.631757,0.632056,0.606993
2025-12-11 00:00:00,0.606106,0.640419,0.606106
2025-12-11 04:00:00,0.578694,0.605571,0.575777
2025-12-11 08:00:00,0.581413,0.586965,0.576914
2025-12-11 12:00:00,0.576158,0.581005,0.575544
2025-12-11 16:00:00,0.572775,0.581657,0.572461
2025-12-11 20:00:00,0.580268,0.581952,0.570019
2025-12-12 00:00:00,0.590497,0.599714,0.575319
2025-12-12 04:00:00,0.590911,0.595675,0.583551
2025-12-12 08:00:00,0.592387,0.598181,0.588416
2025-12-12 12:00:00,0.598962,0.601822,0.589494
2025-12-12 16:00:00,0.574658,0.602498,0.574658
2025-12-12 20:00:00,0.564218,0.570541,0.557339
2025-12-13 00:00:00,0.57395,0.575655,0.563982
2025-12-13 04:00:00,0.58271,0.582754,0.57306
2025-12-13 08:00:00,0.586774,0.589885,0.580815
2025-12-13 12:00:00,0.582813,0.58708,0.582228
2025-12-13 16:00:00,0.582884,0.584886,0.578924
2025-12-13 20:00:00,0.583379,0.584901,0.57958
2025-12-14 00:00:00,0.580616,0.58459,0.57886
2025-12-14 04:00:00,0.579056,0.582163,0.576852
2025-12-14 08:00:00,0.572367,0.579144,0.568979
2025-12-14 12:00:00,0.566227,0.574467,0.563136
2025-12-14 16:00:00,0.553863,0.568649,0.553225
2025-12-14 20:00:00,0.550408,0.557857,0.54761
2025-12-15 00:00:00,0.541922,0.553468,0.541106
2025-12-15 04:00:00,0.551617,0.55699,0.540735
2025-12-15 08:00:00,0.551252,0.557747,0.550537
2025-12-15 12:00:00,0.549976,0.554033,0.549728
2025-12-15 16:00:00,0.519121,0.553286,0.519121
2025-12-15 20:00:00,0.507747,0.518306,0.503723
2025-12-16 00:00:00,0.503474,0.509461,0.503474
2025-12-16 04:00:00,0.505379,0.505392,0.498051
2025-12-16 08:00:00,0.492285,0.506264,0.491641
2025-12-16 12:00:00,0.512636,0.514548,0.493077
2025-12-16 16:00:00,0.51256,0.514343,0.502147
2025-12-16 20:00:00,0.516496,0.518028,0.509998
2025-12-17 00:00:00,0.511829,0.516595,0.511538
2025-12-17 04:00:00,0.509714,0.512365,0.50683
2025-12-17 08:00:00,0.508388,0.511826,0.505685
2025-12-17 12:00:00,0.509975,0.509975,0.504375
2025-12-17 16:00:00,0.503183,0.522228,0.503183
2025-12-17 20:00:00,0.486513,0.504252,0.481434
2025-12-18 00:00:00,0.480468,0.490503,0.47897
2025-12-18 04:00:00,0.474669,0.48116,0.47446
2025-12-18 08:00:00,0.471836,0.476916,0.469452
2025-12-18 12:00:00,0.470355,0.476777,0.469579
2025-12-18 16:00:00,0.485377,0.488484,0.470246
2025-12-18 20:00:00,0.443116,0.483548,0.443116
2025-12-19 00:00:00,0.446727,0.453654,0.441689
2025-12-19 04:00:00,0.459213,0.459213,0.442231
2025-12-19 08:00:00,0.464137,0.467941,0.455141
2025-12-19 12:00:00,0.464492,0.468244,0.462038
2025-12-19 16:00:00,0.476829,0.480683,0.462181
2025-12-19 20:00:00,0.487891,0.489447,0.473254
2025-12-20 00:00:00,0.478073,0.486888,0.476996
2025-12-20 04:00:00,0.474899,0.479598,0.473348
2025-12-20 08:00:00,0.476107,0.476121,0.469761
2025-12-20 12:00:00,0.473438,0.478833,0.470529
2025-12-20 16:00:00,0.474705,0.475763,0.468564
2025-12-20 20:00:00,0.478767,0.479961,0.471814
2025-12-21 00:00:00,0.476987,0.479096,0.475937
2025-12-21 04:00:00,0.470746,0.47779,0.46679
2025-12-21 08:00:00,0.473083,0.473885,0.469245
2025-12-21 12:00:00,0.468753,0.476109,0.468753
2025-12-21 16:00:00,0.452756,0.469166,0.44927
2025-12-21 20:00:00,0.457142,0.460437,0.452534
2025-12-22 00:00:00,0.460856,0.462917,0.452183
2025-12-22 04:00:00,0.463948,0.469681,0.456773
2025-12-22 08:00:00,0.466997,0.468574,0.464394
2025-12-22 12:00:00,0.464188,0.472016,0.460019
2025-12-22 16:00:00,0.460528,0.466134,0.459775
2025-12-22 20:00:00,0.44624,0.465315,0.44624
2025-12-23 00:00:00,0.448823,0.450399,0.443861
2025-12-23 04:00:00,0.449319,0.454394,0.447875
2025-12-23 08:00:00,0.443599,0.448506,0.443599
2025-12-23 12:00:00,0.450631,0.451416,0.443461
2025-12-23 16:00:00,0.442391,0.450194,0.439863
2025-12-23 20:00:00,0.451576,0.453101,0.442744
2025-12-24 00:00:00,0.44896,0.457214,0.444989
2025-12-24 04:00:00,0.439686,0.45016,0.435714
2025-12-24 08:00:00,0.434683,0.442777,0.433628
2025-12-24 12:00:00,0.433951,0.435688,0.432767
2025-12-24 16:00:00,0.443456,0.444387,0.432801
2025-12-24 20:00:00,0.445483,0.445711,0.438469
2025-12-25 00:00:00,0.447969,0.451459,0.445786
2025-12-25 04:00:00,0.456531,0.456531,0.446884
2025-12-25 08:00:00,0.454426,0.458604,0.453725
2025-12-25 12:00:00,0.453371,0.458515,0.44855
2025-12-25 16:00:00,0.456075,0.45897,0.449612
2025-12-25 20:00:00,0.458088,0.459425,0.452711
2025-12-26 00:00:00,0.437693,0.460495,0.437693
2025-12-26 04:00:00,0.462774,0.465384,0.437339
2025-12-26 08:00:00,0.455669,0.46394,0.455669
2025-12-26 12:00:00,0.461779,0.461779,0.455189
2025-12-26 16:00:00,0.449736,0.463213,0.448239
2025-12-26 20:00:00,0.458424,0.459168,0.446644
2025-12-27 00:00:00,0.455781,0.460677,0.455041
2025-12-27 04:00:00,0.465114,0.466716,0.454599
2025-12-27 08:00:00,0.462392,0.465074,0.458766
2025-12-27 12:00:00,0.465085,0.465085,0.457457
2025-12-27 16:00:00,0.469384,0.469961,0.462738
2025-12-27 20:00:00,0.469923,0.471937,0.468213
2025-12-28 00:00:00,0.483603,0.483603,0.469166
2025-12-28 04:00:00,0.478483,0.485466,0.476279
2025-12-28 08:00:00,0.480884,0.482034,0.477359
2025-12-28 12:00:00,0.477892,0.481604,0.477444
2025-12-28 16:00:00,0.47577,0.479743,0.473969
2025-12-28 20:00:00,0.466548,0.477854,0.466473
2025-12-29 00:00:00,0.470025,0.470665,0.465883
2025-12-29 04:00:00,0.481014,0.481093,0.469963
2025-12-29 08:00:00,0.474827,0.48224,0.470716
2025-12-29 12:00:00,0.467861,0.475735,0.463983
2025-12-29 16:00:00,0.462528,0.467275,0.456841
2025-12-29 20:00:00,0.456025,0.461647,0.455003
2025-12-30 00:00:00,0.45352,0.456079,0.451855
2025-12-30 04:00:00,0.454437,0.456452,0.452967
2025-12-30 08:00:00,0.459419,0.460497,0.451804
2025-12-30 12:00:00,0.469132,0.469132,0.459395
2025-12-30 16:00:00,0.464321,0.470446,0.458919
2025-12-30 20:00:00,0.460412,0.467917,0.456832
2025-12-31 00:00:00,0.458783,0.460292,0.455935
2025-12-31 04:00:00,0.460852,0.465295,0.456417
2025-12-31 08:00:00,0.46135,0.463734,0.460929
2025-12-31 12:00:00,0.465295,0.465295,0.457634
2025-12-31 16:00:00,0.474727,0.477084,0.464793
2025-12-31 20:00:00,0.454429,0.474708,0.447595
2026-01-01 00:00:00,0.454873,0.459647,0.45037
2026-01-01 04:00:00,0.451745,0.46167,0.451274
2026-01-01 08:00:00,0.459225,0.459897,0.449878
2026-01-01 12:00:00,0.469583,0.469753,0.459641
2026-01-01 16:00:00,0.485798,0.485798,0.467812
2026-01-01 20:00:00,0.499444,0.499444,0.48509
2026-01-02 00:00:00,0.497357,0.502682,0.495664
2026-01-02 04:00:00,0.501798,0.502809,0.493435
2026-01-02 08:00:00,0.496813,0.503299,0.496813
2026-01-02 12:00:00,0.497728,0.502386,0.494886
2026-01-02 16:00:00,0.50348,0.504676,0.494659
2026-01-02 20:00:00,0.514075,0.514075,0.501172
2026-01-03 00:00:00,0.529005,0.529005,0.510588
