,close,high,low
2025-12-13 20:00:00,0.723527,0.725065,0.716521
2025-12-14 00:00:00,0.723862,0.726033,0.718856
2025-12-14 04:00:00,0.737147,0.740573,0.721059
2025-12-14 08:00:00,0.732288,0.749332,0.732036
2025-12-14 12:00:00,0.727102,0.743457,0.719536
2025-12-14 16:00:00,0.741614,0.753053,0.722419
2025-12-14 20:00:00,0.763462,0.7683,0.743085
2025-12-15 00:00:00,0.732945,0.763942,0.732945
2025-12-15 04:00:00,0.743659,0.743848,0.721702
2025-12-15 08:00:00,0.732526,0.760852,0.730699
2025-12-15 12:00:00,0.723446,0.730784,0.722552
2025-12-15 16:00:00,0.697437,0.723179,0.694308
2025-12-15 20:00:00,0.670071,0.696471,0.670071
2025-12-16 00:00:00,0.671059,0.672603,0.664405
2025-12-16 04:00:00,0.658307,0.670288,0.645762
2025-12-16 08:00:00,0.650528,0.658819,0.647953
2025-12-16 12:00:00,0.660236,0.6612,0.649834
2025-12-16 16:00:00,0.663325,0.663556,0.65099
2025-12-16 20:00:00,0.651255,0.665158,0.643733
2025-12-17 00:00:00,0.646066,0.654953,0.645859
2025-12-17 04:00:00,0.636194,0.646631,0.633399
2025-12-17 08:00:00,0.619937,0.635126,0.617742
2025-12-17 12:00:00,0.61994,0.622227,0.618594
2025-12-17 16:00:00,0.623083,0.641753,0.619123
2025-12-17 20:00:00,0.578748,0.625784,0.576607
2025-12-18 00:00:00,0.57006,0.579977,0.564907
2025-12-18 04:00:00,0.558081,0.571508,0.557602
2025-12-18 08:00:00,0.545672,0.559501,0.545291
2025-12-18 12:00:00,0.580722,0.581057,0.546828
2025-12-18 16:00:00,0.578924,0.603362,0.564343
2025-12-18 20:00:00,0.541041,0.578644,0.541041
2025-12-19 00:00:00,0.549945,0.565782,0.539081
2025-12-19 04:00:00,0.554956,0.558317,0.543277
2025-12-19 08:00:00,0.558907,0.563947,0.553512
2025-12-19 12:00:00,0.56864,0.568913,0.559261
2025-12-19 16:00:00,0.579519,0.584801,0.56665
2025-12-19 20:00:00,0.584738,0.585297,0.567806
2025-12-20 00:00:00,0.584799,0.587614,0.58283
2025-12-20 04:00:00,0.579406,0.585447,0.579061
2025-12-20 08:00:00,0.589419,0.59414,0.575462
2025-12-20 12:00:00,0.592659,0.592781,0.587338
2025-12-20 16:00:00,0.60119,0.604313,0.593603
2025-12-20 20:00:00,0.606188,0.607416,0.598167
2025-12-21 00:00:00,0.609807,0.616593,0.602909
2025-12-21 04:00:00,0.597793,0.609158,0.593132
2025-12-21 08:00:00,0.593179,0.597033,0.591906
2025-12-21 12:00:00,0.588781,0.597275,0.588564
2025-12-21 16:00:00,0.573266,0.589175,0.566083
2025-12-21 20:00:00,0.574154,0.578487,0.56801
2025-12-22 00:00:00,0.57996,0.581591,0.569014
2025-12-22 04:00:00,0.584378,0.595003,0.579572
2025-12-22 08:00:00,0.59183,0.593376,0.584937
2025-12-22 12:00:00,0.591031,0.592795,0.57996
2025-12-22 16:00:00,0.597615,0.603861,0.591653
2025-12-22 20:00:00,0.596027,0.60244,0.595359
2025-12-23 00:00:00,0.604,0.60608,0.594683
2025-12-23 04:00:00,0.593982,0.60724,0.593982
2025-12-23 08:00:00,0.605216,0.605216,0.591495
2025-12-23 12:00:00,0.598957,0.613759,0.595969
2025-12-23 16:00:00,0.57978,0.599211,0.57978
2025-12-23 20:00:00,0.585295,0.589773,0.579074
2025-12-24 00:00:00,0.590042,0.590151,0.580205
2025-12-24 04:00:00,0.575475,0.589922,0.56779
2025-12-24 08:00:00,0.575126,0.580623,0.573469
2025-12-24 12:00:00,0.582594,0.582594,0.573353
2025-12-24 16:00:00,0.586402,0.594555,0.580945
2025-12-24 20:00:00,0.597783,0.597783,0.585744
2025-12-25 00:00:00,0.610922,0.612522,0.598913
2025-12-25 04:00:00,0.614142,0.614946,0.602522
2025-12-25 08:00:00,0.634462,0.634462,0.612272
2025-12-25 12:00:00,0.626161,0.635141,0.624203
2025-12-25 16:00:00,0.630303,0.638944,0.6193
2025-12-25 20:00:00,0.631328,0.645613,0.629889
2025-12-26 00:00:00,0.60794,0.638417,0.60794
2025-12-26 04:00:00,0.616626,0.618154,0.595402
2025-12-26 08:00:00,0.616817,0.625373,0.610563
2025-12-26 12:00:00,0.61415,0.619397,0.612553
2025-12-26 16:00:00,0.610579,0.620519,0.607842
2025-12-26 20:00:00,0.640898,0.642846,0.609332
2025-12-27 00:00:00,0.638945,0.642906,0.628944
2025-12-27 04:00:00,0.632442,0.658852,0.626497
2025-12-27 08:00:00,0.643938,0.64534,0.631796
2025-12-27 12:00:00,0.639162,0.647673,0.638367
2025-12-27 16:00:00,0.651858,0.653244,0.637725
2025-12-27 20:00:00,0.648722,0.65224,0.645282
2025-12-28 00:00:00,0.651621,0.652767,0.646551
2025-12-28 04:00:00,0.650787,0.657442,0.648507
2025-12-28 08:00:00,0.643115,0.650585,0.642325
2025-12-28 12:00:00,0.643947,0.64622,0.640803
2025-12-28 16:00:00,0.636421,0.643793,0.636421
2025-12-28 20:00:00,0.614369,0.638214,0.614206
2025-12-29 00:00:00,0.631255,0.634338,0.61256
2025-12-29 04:00:00,0.652954,0.653933,0.629866
2025-12-29 08:00:00,0.649359,0.655175,0.646202
2025-12-29 12:00:00,0.642382,0.651186,0.642323
2025-12-29 16:00:00,0.63337,0.6413,0.62372
2025-12-29 20:00:00,0.626218,0.632233,0.62309
2025-12-30 00:00:00,0.619983,0.626182,0.619303
2025-12-30 04:00:00,0.609464,0.619889,0.60621
2025-12-30 08:00:00,0.613124,0.613951,0.607563
2025-12-30 12:00:00,0.617755,0.619443,0.612681
2025-12-30 16:00:00,0.624816,0.628302,0.607907
2025-12-30 20:00:00,0.637736,0.637736,0.627128
2025-12-31 00:00:00,0.635592,0.639694,0.632045
2025-12-31 04:00:00,0.630114,0.635947,0.6276
2025-12-31 08:00:00,0.628563,0.632935,0.628438
2025-12-31 12:00:00,0.626207,0.631483,0.624093
2025-12-31 16:00:00,0.61961,0.627255,0.618318
2025-12-31 20:00:00,0.609748,0.619338,0.599552
2026-01-01 00:00:00,0.606575,0.609839,0.60523
2026-01-01 04:00:00,0.615667,0.617348,0.606701
2026-01-01 08:00:00,0.617079,0.61755,0.606979
2026-01-01 12:00:00,0.635261,0.641214,0.617111
2026-01-01 16:00:00,0.6348,0.642549,0.633563
2026-01-01 20:00:00,0.664594,0.673211,0.642231
2026-01-02 00:00:00,0.661702,0.665005,0.653898
2026-01-02 04:00:00,0.662294,0.662294,0.650386
2026-01-02 08:00:00,0.654295,0.662646,0.654024
2026-01-02 12:00:00,0.66926,0.671038,0.655779
2026-01-02 16:00:00,0.665701,0.675206,0.661212
2026-01-02 20:00:00,0.674225,0.674225,0.663708
2026-01-03 00:00:00,0.675993,0.677676,0.670546
2026-01-03 04:00:00,0.681011,0.681011,0.67441
2026-01-03 08:00:00,0.660893,0.680446,0.657642
