,close,high,low
2025-12-17 16:00:00,0.226501,0.234672,0.226501
2025-12-17 20:00:00,0.21872,0.22655,0.216656
2025-12-18 00:00:00,0.218542,0.221525,0.217738
2025-12-18 04:00:00,0.215184,0.218782,0.215174
2025-12-18 08:00:00,0.214639,0.216185,0.211804
2025-12-18 12:00:00,0.214603,0.215645,0.213859
2025-12-18 16:00:00,0.219612,0.2211,0.21461
2025-12-18 20:00:00,0.20265,0.219192,0.20265
2025-12-19 00:00:00,0.208135,0.209984,0.202088
2025-12-19 04:00:00,0.214787,0.21564,0.208208
2025-12-19 08:00:00,0.216047,0.217884,0.21363
2025-12-19 12:00:00,0.215772,0.216647,0.214834
2025-12-19 16:00:00,0.216429,0.217641,0.214963
2025-12-19 20:00:00,0.220615,0.220822,0.213904
2025-12-20 00:00:00,0.218639,0.220203,0.217911
2025-12-20 04:00:00,0.225356,0.229155,0.217871
2025-12-20 08:00:00,0.223684,0.224857,0.221431
2025-12-20 12:00:00,0.224147,0.224939,0.222856
2025-12-20 16:00:00,0.2242,0.225636,0.222685
2025-12-20 20:00:00,0.224458,0.224862,0.223252
2025-12-21 00:00:00,0.226139,0.22696,0.224553
2025-12-21 04:00:00,0.222545,0.226506,0.220711
2025-12-21 08:00:00,0.222005,0.222809,0.221548
2025-12-21 12:00:00,0.220737,0.222963,0.22056
2025-12-21 16:00:00,0.216622,0.221965,0.215037
2025-12-21 20:00:00,0.217023,0.218237,0.21554
2025-12-22 00:00:00,0.218272,0.219039,0.215585
2025-12-22 04:00:00,0.219904,0.220915,0.217518
2025-12-22 08:00:00,0.223988,0.224275,0.219847
2025-12-22 12:00:00,0.223399,0.225476,0.221649
2025-12-22 16:00:00,0.219301,0.223796,0.218567
2025-12-22 20:00:00,0.214792,0.219588,0.214792
2025-12-23 00:00:00,0.207763,0.214747,0.207763
2025-12-23 04:00:00,0.199137,0.210402,0.198948
2025-12-23 08:00:00,0.198298,0.199718,0.196761
2025-12-23 12:00:00,0.201677,0.201933,0.197913
2025-12-23 16:00:00,0.198068,0.201212,0.196182
2025-12-23 20:00:00,0.200298,0.200676,0.197513
2025-12-24 00:00:00,0.201628,0.201855,0.198878
2025-12-24 04:00:00,0.198892,0.202897,0.198603
2025-12-24 08:00:00,0.198909,0.200532,0.197811
2025-12-24 12:00:00,0.19903,0.199133,0.198008
2025-12-24 16:00:00,0.199639,0.200068,0.198467
2025-12-24 20:00:00,0.19985,0.199949,0.198678
2025-12-25 00:00:00,0.201986,0.203045,0.199879
2025-12-25 04:00:00,0.204322,0.204322,0.20115
2025-12-25 08:00:00,0.205569,0.205569,0.20279
2025-12-25 12:00:00,0.207578,0.210537,0.206083
2025-12-25 16:00:00,0.206377,0.209978,0.20537
2025-12-25 20:00:00,0.207475,0.207948,0.205739
2025-12-26 00:00:00,0.200848,0.207779,0.200848
2025-12-26 04:00:00,0.204251,0.205813,0.200803
2025-12-26 08:00:00,0.203528,0.204929,0.203528
2025-12-26 12:00:00,0.203808,0.204506,0.202828
2025-12-26 16:00:00,0.199927,0.204834,0.199408
2025-12-26 20:00:00,0.201343,0.201343,0.19888
2025-12-27 00:00:00,0.202327,0.202404,0.200744
2025-12-27 04:00:00,0.206708,0.213581,0.202565
2025-12-27 08:00:00,0.207961,0.207961,0.205119
2025-12-27 12:00:00,0.20574,0.208288,0.203866
2025-12-27 16:00:00,0.207829,0.21253,0.205639
2025-12-27 20:00:00,0.207412,0.208652,0.207382
2025-12-28 00:00:00,0.211197,0.211197,0.207426
2025-12-28 04:00:00,0.207873,0.217327,0.20781
2025-12-28 08:00:00,0.209256,0.209406,0.207373
2025-12-28 12:00:00,0.209409,0.209914,0.207943
2025-12-28 16:00:00,0.210007,0.210007,0.207136
2025-12-28 20:00:00,0.205165,0.211024,0.205165
2025-12-29 00:00:00,0.206775,0.207157,0.204847
2025-12-29 04:00:00,0.21134,0.21134,0.206695
2025-12-29 08:00:00,0.209926,0.212006,0.20928
2025-12-29 12:00:00,0.205935,0.210076,0.205134
2025-12-29 16:00:00,0.204096,0.205729,0.202032
2025-12-29 20:00:00,0.203711,0.206128,0.203436
2025-12-30 00:00:00,0.202809,0.20376,0.20169
2025-12-30 04:00:00,0.197702,0.202838,0.196133
2025-12-30 08:00:00,0.198419,0.198959,0.19681
2025-12-30 12:00:00,0.199904,0.200344,0.197977
2025-12-30 16:00:00,0.201456,0.201456,0.19953
2025-12-30 20:00:00,0.202666,0.202666,0.199891
2025-12-31 00:00:00,0.203853,0.204045,0.200616
2025-12-31 04:00:00,0.206435,0.208802,0.202933
2025-12-31 08:00:00,0.203963,0.20689,0.203522
2025-12-31 12:00:00,0.20244,0.204738,0.201378
2025-12-31 16:00:00,0.199611,0.202632,0.198611
2025-12-31 20:00:00,0.198976,0.200805,0.194949
2026-01-01 00:00:00,0.197873,0.198879,0.196806
2026-01-01 04:00:00,0.198357,0.199804,0.197374
2026-01-01 08:00:00,0.198392,0.199626,0.197475
2026-01-01 12:00:00,0.202423,0.202423,0.19853
2026-01-01 16:00:00,0.205695,0.205695,0.200379
2026-01-01 20:00:00,0.206874,0.206874,0.205327
2026-01-02 00:00:00,0.206733,0.208342,0.205598
2026-01-02 04:00:00,0.207615,0.207615,0.20492
2026-01-02 08:00:00,0.206058,0.207583,0.205538
2026-01-02 12:00:00,0.207869,0.210165,0.206061
2026-01-02 16:00:00,0.209503,0.21028,0.207308
2026-01-02 20:00:00,0.213147,0.213357,0.208884
2026-01-03 00:00:00,0.213864,0.215066,0.212691
2026-01-03 04:00:00,0.216483,0.216483,0.213102
2026-01-03 08:00:00,0.209559,0.216736,0.209186
