,close,high,low
2025-12-14 12:00:00,0.333773,0.352393,0.333773
2025-12-14 16:00:00,0.333648,0.335826,0.325551
2025-12-14 20:00:00,0.360663,0.366221,0.339881
2025-12-15 00:00:00,0.338798,0.361989,0.338566
2025-12-15 04:00:00,0.352683,0.357294,0.339469
2025-12-15 08:00:00,0.354739,0.373991,0.350542
2025-12-15 12:00:00,0.376597,0.382742,0.353697
2025-12-15 16:00:00,0.366359,0.404027,0.366127
2025-12-15 20:00:00,0.390674,0.394117,0.362645
2025-12-16 00:00:00,0.435572,0.436689,0.386886
2025-12-16 04:00:00,0.444427,0.446543,0.427091
2025-12-16 08:00:00,0.460997,0.464825,0.435048
2025-12-16 12:00:00,0.484541,0.504254,0.455182
2025-12-16 16:00:00,0.359977,0.524152,0.359977
2025-12-16 20:00:00,0.353158,0.388326,0.342722
2025-12-17 00:00:00,0.378513,0.387333,0.349355
2025-12-17 04:00:00,0.35212,0.380484,0.28889
2025-12-17 08:00:00,0.426595,0.428744,0.346339
2025-12-17 12:00:00,0.402787,0.432671,0.40162
2025-12-17 16:00:00,0.39569,0.408966,0.389349
2025-12-17 20:00:00,0.410017,0.418503,0.39528
2025-12-18 00:00:00,0.399993,0.410597,0.396197
2025-12-18 04:00:00,0.400653,0.401214,0.386454
2025-12-18 08:00:00,0.445569,0.448747,0.399241
2025-12-18 12:00:00,0.435636,0.450618,0.430992
2025-12-18 16:00:00,0.418238,0.440218,0.417265
2025-12-18 20:00:00,0.395366,0.426701,0.365233
2025-12-19 00:00:00,0.368713,0.395674,0.365736
2025-12-19 04:00:00,0.360488,0.375885,0.356337
2025-12-19 08:00:00,0.364941,0.368245,0.357049
2025-12-19 12:00:00,0.361476,0.370276,0.348243
2025-12-19 16:00:00,0.357589,0.360423,0.348854
2025-12-19 20:00:00,0.381069,0.392018,0.356346
2025-12-20 00:00:00,0.376846,0.384512,0.367041
2025-12-20 04:00:00,0.373383,0.383129,0.373383
2025-12-20 08:00:00,0.396756,0.411139,0.372066
2025-12-20 12:00:00,0.397019,0.409801,0.391891
2025-12-20 16:00:00,0.427471,0.430099,0.397102
2025-12-20 20:00:00,0.419286,0.426172,0.416989
2025-12-21 00:00:00,0.422502,0.426373,0.417691
2025-12-21 04:00:00,0.429196,0.430925,0.421544
2025-12-21 08:00:00,0.442036,0.442036,0.4274
2025-12-21 12:00:00,0.438977,0.480578,0.438977
2025-12-21 16:00:00,0.44322,0.454661,0.415273
2025-12-21 20:00:00,0.436537,0.442136,0.425623
2025-12-22 00:00:00,0.426801,0.449085,0.420883
2025-12-22 04:00:00,0.388392,0.439671,0.3881
2025-12-22 08:00:00,0.36382,0.386483,0.36382
2025-12-22 12:00:00,0.348811,0.367802,0.344597
2025-12-22 16:00:00,0.332398,0.362769,0.332398
2025-12-22 20:00:00,0.329465,0.338861,0.327084
2025-12-23 00:00:00,0.360866,0.370522,0.303568
2025-12-23 04:00:00,0.354071,0.361602,0.347163
2025-12-23 08:00:00,0.370578,0.387916,0.357858
2025-12-23 12:00:00,0.423734,0.428988,0.372492
2025-12-23 16:00:00,0.43802,0.438747,0.419527
2025-12-23 20:00:00,0.446943,0.461046,0.425026
2025-12-24 00:00:00,0.462424,0.471719,0.450411
2025-12-24 04:00:00,0.478724,0.478724,0.457324
2025-12-24 08:00:00,0.4704,0.502784,0.446345
2025-12-24 12:00:00,0.467562,0.597451,0.455854
2025-12-24 16:00:00,0.519345,0.522941,0.472502
2025-12-24 20:00:00,0.488645,0.520506,0.483248
2025-12-25 00:00:00,0.489448,0.522008,0.489448
2025-12-25 04:00:00,0.495479,0.504966,0.463108
2025-12-25 08:00:00,0.483629,0.494614,0.475234
2025-12-25 12:00:00,0.487753,0.487753,0.473009
2025-12-25 16:00:00,0.499041,0.502899,0.474533
2025-12-25 20:00:00,0.50894,0.549354,0.505805
2025-12-26 00:00:00,0.511664,0.526391,0.493428
2025-12-26 04:00:00,0.508193,0.52851,0.507858
2025-12-26 08:00:00,0.5062,0.526262,0.486107
2025-12-26 12:00:00,0.498373,0.50859,0.496121
2025-12-26 16:00:00,0.491655,0.501315,0.485472
2025-12-26 20:00:00,0.478217,0.490028,0.462728
2025-12-27 00:00:00,0.493373,0.497381,0.475641
2025-12-27 04:00:00,0.48859,0.496554,0.4821
2025-12-27 08:00:00,0.485466,0.490826,0.483662
2025-12-27 12:00:00,0.472645,0.486903,0.471158
2025-12-27 16:00:00,0.464815,0.473922,0.459022
2025-12-27 20:00:00,0.473178,0.473696,0.463943
2025-12-28 00:00:00,0.469123,0.481178,0.464802
2025-12-28 04:00:00,0.462539,0.474789,0.46252
2025-12-28 08:00:00,0.437239,0.468709,0.435203
2025-12-28 12:00:00,0.441689,0.444957,0.427087
2025-12-28 16:00:00,0.441002,0.443132,0.432563
2025-12-28 20:00:00,0.427815,0.440304,0.425738
2025-12-29 00:00:00,0.420855,0.430206,0.416798
2025-12-29 04:00:00,0.424902,0.426214,0.414796
2025-12-29 08:00:00,0.404727,0.425424,0.403694
2025-12-29 12:00:00,0.436036,0.436036,0.403757
2025-12-29 16:00:00,0.428135,0.437759,0.420232
2025-12-29 20:00:00,0.428378,0.444464,0.418665
2025-12-30 00:00:00,0.422917,0.426312,0.412458
2025-12-30 04:00:00,0.430662,0.433896,0.41576
2025-12-30 08:00:00,0.45017,0.453041,0.421943
2025-12-30 12:00:00,0.437597,0.456748,0.435746
2025-12-30 16:00:00,0.418423,0.436428,0.416139
2025-12-30 20:00:00,0.414396,0.41843,0.409244
2025-12-31 00:00:00,0.412652,0.418131,0.410484
2025-12-31 04:00:00,0.415606,0.420169,0.411014
2025-12-31 08:00:00,0.411281,0.415943,0.407996
2025-12-31 12:00:00,0.383893,0.410413,0.381701
2025-12-31 16:00:00,0.37484,0.383775,0.369047
2025-12-31 20:00:00,0.389496,0.391616,0.37347
2026-01-01 00:00:00,0.391303,0.396499,0.388353
2026-01-01 04:00:00,0.391085,0.39536,0.388137
2026-01-01 08:00:00,0.396264,0.402441,0.390644
2026-01-01 12:00:00,0.393774,0.395126,0.387667
2026-01-01 16:00:00,0.402028,0.403701,0.392363
2026-01-01 20:00:00,0.392817,0.406723,0.392583
2026-01-02 00:00:00,0.39104,0.393199,0.388773
2026-01-02 04:00:00,0.391548,0.398535,0.387986
2026-01-02 08:00:00,0.387388,0.390643,0.384885
2026-01-02 12:00:00,0.375623,0.388247,0.373509
2026-01-02 16:00:00,0.372653,0.378536,0.353915
2026-01-02 20:00:00,0.39727,0.402164,0.368211
2026-01-03 00:00:00,0.37416,0.397598,0.373625
