,close,high,low
2025-12-11 12:00:00,3393.6,3407.5,3385.54
2025-12-11 16:00:00,3375.26,3405.34,3355.84
2025-12-11 20:00:00,3403.85,3417.54,3360.45
2025-12-12 00:00:00,3433.27,3460.74,3395.8
2025-12-12 04:00:00,3447.62,3467.18,3401.16
2025-12-12 08:00:00,3439.11,3464.19,3429.4
2025-12-12 12:00:00,3445.29,3470.56,3437.53
2025-12-12 16:00:00,3305.1,3454.24,3305.1
2025-12-12 20:00:00,3267.91,3298.16,3259.44
2025-12-13 00:00:00,3279.16,3288.16,3262.27
2025-12-13 04:00:00,3284.9,3287.52,3273.58
2025-12-13 08:00:00,3289.74,3289.74,3279.71
2025-12-13 12:00:00,3317.51,3329.88,3288.77
2025-12-13 16:00:00,3306.99,3322.26,3295.52
2025-12-13 20:00:00,3308.12,3310.48,3294.49
2025-12-14 00:00:00,3305.5,3312.02,3284.49
2025-12-14 04:00:00,3317.28,3320.82,3299.76
2025-12-14 08:00:00,3311.7,3317.65,3302.67
2025-12-14 12:00:00,3271.17,3316.18,3271.17
2025-12-14 16:00:00,3278.93,3297.32,3268.25
2025-12-14 20:00:00,3286.48,3298.73,3273.85
2025-12-15 00:00:00,3260.55,3291.08,3239.5
2025-12-15 04:00:00,3310.59,3333.15,3255.06
2025-12-15 08:00:00,3324.66,3337.62,3304.42
2025-12-15 12:00:00,3354.51,3370.6,3325.98
2025-12-15 16:00:00,3191.31,3357.04,3189.5
2025-12-15 20:00:00,3125.85,3200.08,3092.0
2025-12-16 00:00:00,3147.17,3152.46,3104.61
2025-12-16 04:00:00,3116.97,3160.29,3114.56
2025-12-16 08:00:00,3108.94,3133.27,3089.39
2025-12-16 12:00:00,3141.78,3143.01,3109.09
2025-12-16 16:00:00,3147.84,3151.07,3083.19
2025-12-16 20:00:00,3137.16,3138.84,3107.25
2025-12-17 00:00:00,3145.3,3145.3,3125.2
2025-12-17 04:00:00,3129.1,3147.91,3127.05
2025-12-17 08:00:00,3127.69,3130.44,3098.36
2025-12-17 12:00:00,3110.34,3128.57,3099.07
2025-12-17 16:00:00,3093.97,3200.07,3074.12
2025-12-17 20:00:00,2998.68,3097.58,2979.09
2025-12-18 00:00:00,3008.1,3017.53,2988.37
2025-12-18 04:00:00,3013.83,3023.64,3003.87
2025-12-18 08:00:00,3016.87,3021.64,3006.15
2025-12-18 12:00:00,3039.94,3045.33,3015.32
2025-12-18 16:00:00,3156.42,3170.1,3037.77
2025-12-18 20:00:00,2969.86,3151.96,2968.76
2025-12-19 00:00:00,3008.82,3012.43,2966.81
2025-12-19 04:00:00,3101.14,3101.14,2997.1
2025-12-19 08:00:00,3139.64,3160.48,3098.82
2025-12-19 12:00:00,3161.84,3162.05,3135.93
2025-12-19 16:00:00,3158.67,3178.56,3145.66
2025-12-19 20:00:00,3179.48,3190.29,3137.98
2025-12-20 00:00:00,3172.97,3191.15,3168.48
2025-12-20 04:00:00,3183.81,3185.82,3167.69
2025-12-20 08:00:00,3176.26,3183.23,3170.41
2025-12-20 12:00:00,3181.3,3181.62,3169.08
2025-12-20 16:00:00,3170.29,3186.19,3165.5
2025-12-20 20:00:00,3167.4,3172.59,3164.34
2025-12-21 00:00:00,3166.32,3177.24,3158.41
2025-12-21 04:00:00,3166.5,3169.19,3158.62
2025-12-21 08:00:00,3175.01,3175.01,3166.73
2025-12-21 12:00:00,3193.99,3199.59,3173.59
2025-12-21 16:00:00,3168.08,3203.01,3144.87
2025-12-21 20:00:00,3183.92,3183.92,3162.94
2025-12-22 00:00:00,3195.28,3195.82,3164.34
2025-12-22 04:00:00,3216.1,3234.88,3189.09
2025-12-22 08:00:00,3227.54,3235.0,3216.5
2025-12-22 12:00:00,3247.99,3248.78,3225.85
2025-12-22 16:00:00,3242.49,3261.61,3226.95
2025-12-22 20:00:00,3175.77,3251.65,3175.77
2025-12-23 00:00:00,3199.76,3204.99,3163.57
2025-12-23 04:00:00,3188.99,3223.6,3172.64
2025-12-23 08:00:00,3160.74,3190.45,3144.68
2025-12-23 12:00:00,3165.53,3168.76,3148.34
2025-12-23 16:00:00,3115.61,3158.24,3108.62
2025-12-23 20:00:00,3131.3,3153.39,3110.37
2025-12-24 00:00:00,3159.4,3170.2,3135.0
2025-12-24 04:00:00,3135.48,3166.09,3118.91
2025-12-24 08:00:00,3126.89,3141.86,3110.53
2025-12-24 12:00:00,3121.86,3127.43,3111.36
2025-12-24 16:00:00,3122.05,3127.47,3073.69
2025-12-24 20:00:00,3135.08,3137.99,3117.73
2025-12-25 00:00:00,3141.8,3152.07,3135.28
2025-12-25 04:00:00,3137.78,3147.11,3130.69
2025-12-25 08:00:00,3129.35,3137.45,3127.32
2025-12-25 12:00:00,3116.42,3131.35,3107.73
2025-12-25 16:00:00,3155.07,3155.62,3114.65
2025-12-25 20:00:00,3147.5,3155.66,3138.68
2025-12-26 00:00:00,3092.61,3148.31,3086.66
2025-12-26 04:00:00,3157.12,3173.98,3085.17
2025-12-26 08:00:00,3155.17,3181.11,3148.71
2025-12-26 12:00:00,3164.6,3171.85,3149.8
2025-12-26 16:00:00,3114.32,3178.39,3100.02
2025-12-26 20:00:00,3116.1,3121.48,3103.78
2025-12-27 00:00:00,3120.01,3126.13,3115.37
2025-12-27 04:00:00,3125.14,3125.14,3114.42
2025-12-27 08:00:00,3127.48,3127.63,3119.64
2025-12-27 12:00:00,3123.4,3130.13,3113.42
2025-12-27 16:00:00,3119.56,3125.76,3118.22
2025-12-27 20:00:00,3116.19,3118.19,3108.04
2025-12-28 00:00:00,3144.04,3151.98,3115.99
2025-12-28 04:00:00,3140.24,3167.43,3133.26
2025-12-28 08:00:00,3131.32,3140.17,3125.35
2025-12-28 12:00:00,3135.94,3140.77,3127.86
2025-12-28 16:00:00,3142.49,3149.73,3130.42
2025-12-28 20:00:00,3125.31,3149.93,3124.19
2025-12-29 00:00:00,3143.68,3147.9,3122.8
2025-12-29 04:00:00,3238.02,3238.02,3138.95
2025-12-29 08:00:00,3216.1,3250.18,3212.28
2025-12-29 12:00:00,3163.71,3220.74,3156.03
2025-12-29 16:00:00,3125.65,3161.78,3121.6
2025-12-29 20:00:00,3125.89,3134.12,3112.16
2025-12-30 00:00:00,3132.02,3136.06,3120.09
2025-12-30 04:00:00,3142.23,3142.23,3117.6
2025-12-30 08:00:00,3143.96,3148.54,3132.0
2025-12-30 12:00:00,3171.27,3186.17,3144.67
2025-12-30 16:00:00,3185.82,3194.9,3163.2
2025-12-30 20:00:00,3164.8,3187.39,3150.78
2025-12-31 00:00:00,3168.53,3169.24,3154.8
2025-12-31 04:00:00,3165.66,3179.89,3158.34
2025-12-31 08:00:00,3170.78,3176.3,3164.8
2025-12-31 12:00:00,3197.93,3197.93,3163.43
2025-12-31 16:00:00,3180.85,3214.69,3166.7
2025-12-31 20:00:00,3168.04,3188.96,3165.78
2026-01-01 00:00:00,3164.04,3177.29,3158.79
2026-01-01 04:00:00,3175.26,3183.84,3164.72
2026-01-01 08:00:00,3174.44,3178.01,3170.69
2026-01-01 12:00:00,3195.4,3195.47,3173.41
2026-01-01 16:00:00,3185.65,3196.43,3173.3
2026-01-01 20:00:00,3191.46,3193.43,3176.53
2026-01-02 00:00:00,3201.67,3206.71,3184.26
2026-01-02 04:00:00,3225.85,3225.85,3194.66
2026-01-02 08:00:00,3219.43,3236.83,3208.75
2026-01-02 12:00:00,3248.96,3266.49,3217.64
2026-01-02 16:00:00,3288.61,3298.13,3227.91
2026-01-02 20:00:00,3332.2,3352.22,3287.81
2026-01-03 00:00:00,3333.63,3347.94,3323.04
2026-01-03 04:00:00,3335.01,3344.47,3329.97
2026-01-03 08:00:00,3296.98,3336.17,3289.95
