,close,high,low
2025-12-19 08:00:00,0.785692,0.788829,0.775555
2025-12-19 12:00:00,0.784029,0.789015,0.780848
2025-12-19 16:00:00,0.778286,0.792642,0.778286
2025-12-19 20:00:00,0.794462,0.794462,0.774951
2025-12-20 00:00:00,0.793813,0.801638,0.793011
2025-12-20 04:00:00,0.793293,0.794363,0.787671
2025-12-20 08:00:00,0.792241,0.794964,0.789803
2025-12-20 12:00:00,0.789587,0.799816,0.789587
2025-12-20 16:00:00,0.791848,0.796978,0.789785
2025-12-20 20:00:00,0.789598,0.800803,0.789394
2025-12-21 00:00:00,0.797426,0.799639,0.787984
2025-12-21 04:00:00,0.797217,0.80419,0.794989
2025-12-21 08:00:00,0.802834,0.804387,0.786828
2025-12-21 12:00:00,0.7959,0.804154,0.795895
2025-12-21 16:00:00,0.797995,0.804542,0.795938
2025-12-21 20:00:00,0.78838,0.798724,0.78838
2025-12-22 00:00:00,0.794498,0.794498,0.784057
2025-12-22 04:00:00,0.793024,0.795399,0.789971
2025-12-22 08:00:00,0.77662,0.79498,0.77662
2025-12-22 12:00:00,0.777621,0.783064,0.775124
2025-12-22 16:00:00,0.778091,0.779799,0.772058
2025-12-22 20:00:00,0.774035,0.779268,0.769974
2025-12-23 00:00:00,0.793143,0.793244,0.773718
2025-12-23 04:00:00,0.787235,0.794215,0.782213
2025-12-23 08:00:00,0.794933,0.796918,0.786378
2025-12-23 12:00:00,0.796618,0.798625,0.79037
2025-12-23 16:00:00,0.779748,0.796099,0.779748
2025-12-23 20:00:00,0.782398,0.784298,0.778111
2025-12-24 00:00:00,0.775616,0.782775,0.775598
2025-12-24 04:00:00,0.77957,0.780265,0.77292
2025-12-24 08:00:00,0.771361,0.782767,0.764156
2025-12-24 12:00:00,0.772171,0.779363,0.767858
2025-12-24 16:00:00,0.773446,0.777741,0.7712
2025-12-24 20:00:00,0.775551,0.780163,0.772852
2025-12-25 00:00:00,0.774871,0.78147,0.769109
2025-12-25 04:00:00,0.769351,0.77777,0.769097
2025-12-25 08:00:00,0.771495,0.77258,0.765064
2025-12-25 12:00:00,0.760274,0.776365,0.760274
2025-12-25 16:00:00,0.75327,0.763654,0.746402
2025-12-25 20:00:00,0.741517,0.752974,0.739641
2025-12-26 00:00:00,0.740769,0.744598,0.733944
2025-12-26 04:00:00,0.740219,0.74297,0.730843
2025-12-26 08:00:00,0.736575,0.740139,0.73396
2025-12-26 12:00:00,0.743803,0.745055,0.735661
2025-12-26 16:00:00,0.741526,0.74505,0.737051
2025-12-26 20:00:00,0.741445,0.749737,0.741445
2025-12-27 00:00:00,0.726846,0.740125,0.726846
2025-12-27 04:00:00,0.726186,0.732804,0.725322
2025-12-27 08:00:00,0.730129,0.731413,0.724994
2025-12-27 12:00:00,0.703119,0.731192,0.702837
2025-12-27 16:00:00,0.708631,0.710147,0.702364
2025-12-27 20:00:00,0.727476,0.729305,0.704948
2025-12-28 00:00:00,0.71529,0.725044,0.708672
2025-12-28 04:00:00,0.725699,0.727765,0.713165
2025-12-28 08:00:00,0.724179,0.725787,0.720768
2025-12-28 12:00:00,0.711592,0.724928,0.711592
2025-12-28 16:00:00,0.700416,0.711632,0.699424
2025-12-28 20:00:00,0.699176,0.701667,0.693107
2025-12-29 00:00:00,0.667776,0.702955,0.666852
2025-12-29 04:00:00,0.676972,0.678196,0.667113
2025-12-29 08:00:00,0.668698,0.675348,0.661086
2025-12-29 12:00:00,0.658354,0.67439,0.656357
2025-12-29 16:00:00,0.656396,0.662182,0.652941
2025-12-29 20:00:00,0.660833,0.663133,0.655561
2025-12-30 00:00:00,0.669349,0.673136,0.659673
2025-12-30 04:00:00,0.678875,0.679755,0.668602
2025-12-30 08:00:00,0.674253,0.681176,0.672415
2025-12-30 12:00:00,0.739777,0.756655,0.677273
2025-12-30 16:00:00,0.743023,0.745259,0.735705
2025-12-30 20:00:00,0.746225,0.752933,0.739854
2025-12-31 00:00:00,0.755213,0.75953,0.746213
2025-12-31 04:00:00,0.766515,0.767287,0.756304
2025-12-31 08:00:00,0.770221,0.775846,0.764973
2025-12-31 12:00:00,0.78991,0.78991,0.76784
2025-12-31 16:00:00,0.780041,0.789906,0.776554
2025-12-31 20:00:00,0.77357,0.781478,0.769561
2026-01-01 00:00:00,0.781975,0.781975,0.765799
2026-01-01 04:00:00,0.765077,0.779515,0.765077
2026-01-01 08:00:00,0.773183,0.773376,0.763308
2026-01-01 12:00:00,0.787404,0.790507,0.775999
2026-01-01 16:00:00,0.800137,0.804301,0.780259
2026-01-01 20:00:00,0.793914,0.803807,0.787549
2026-01-02 00:00:00,0.795588,0.799305,0.79151
2026-01-02 04:00:00,0.792466,0.795717,0.788374
2026-01-02 08:00:00,0.800761,0.800779,0.788909
2026-01-02 12:00:00,0.81036,0.810617,0.795764
2026-01-02 16:00:00,0.82191,0.823248,0.808497
2026-01-02 20:00:00,0.826151,0.829611,0.820215
2026-01-03 00:00:00,0.82791,0.836702,0.823693
2026-01-03 04:00:00,0.828762,0.83208,0.820296
2026-01-03 08:00:00,0.834578,0.83757,0.828521
